Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.47689E+18,https://twitter.com/EconomicsShiny/status/1476888339508772880,"Cross-Country Comparison: New confirmed cases of #COVID19 in major economies, using data as of 31 Dec, per 100K people #rstats https://t.co/LMLuIGOpjh",2021-12-31 12:09 +0000,565,17,0.030088496,2,0,1,0,0,0,0,0,0,0,0,0,0,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669746556854273,"Canada: New #COVID19 cases, as of 28 Dec, at 32,120; the 7-day rolling average is at 25,344, up from 22,899 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:41 +0000,333,1,0.003003003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669699484176390,"Brazil: New #COVID19 cases, as of 29 Dec, at 0; the 7-day rolling average is at 5,421, down from 5,952 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:41 +0000,362,1,0.002762431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669652407394310,"Italy: New #COVID19 cases, as of 29 Dec, at 127,000; the 7-day rolling average is at 66,339, up from 54,566 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:40 +0000,309,1,0.003236246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669600192516100,"United Kingdom: New #COVID19 cases, as of 27 Dec, at 41,966; the 7-day rolling average is at 106,841, down from 120,207 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:40 +0000,315,1,0.003174603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669552889147395,"Germany: New #COVID19 cases, as of 28 Dec, at 30,012; the 7-day rolling average is at 24,639, down from 26,210 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:40 +0000,301,2,0.006644518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47667E+18,https://twitter.com/EconomicsShiny/status/1476669496010100748,"United States: New #COVID19 cases, as of 28 Dec, at 488,988; the 7-day rolling average is at 301,475, up from 266,430 the prior day (source: https://t.co/jQYRb8dubd) #rstats",2021-12-30 21:40 +0000,305,1,0.003278689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47661E+18,https://twitter.com/EconomicsShiny/status/1476609033901592576,"#Thinking about buying a house? Average US 30-Year Fixed Rate #Mortgage last week at 3.11%, up 0.06 p.p. from last week. 5/1 ARM at 2.4% #rstats https://t.co/D3Kx1ozxEz",2021-12-30 17:40 +0000,499,5,0.01002004,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47661E+18,https://twitter.com/EconomicsShiny/status/1476608655051182084,"The Financial #Stress index by the St. Louis Fed for the week of December 24 came in at -0.69. Values above 0 suggest above-average financial stress, and values below 0 suggest less than average financial stress #rstats https://t.co/zxRhKHt4Bt",2021-12-30 17:38 +0000,398,4,0.010050251,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.47655E+18,https://twitter.com/EconomicsShiny/status/1476549562026401794,Weekly Initial Unemployment Claims  decrease to 198K (down -8K from prior week); 4-week moving average of continued claims  decrease to 1859.5K in Dec 2021 #rstats https://t.co/GfmMR3pCsA,2021-12-30 13:43 +0000,505,9,0.017821782,2,0,0,0,0,0,4,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
